collection_folder,record_count
"10""/12""",141
"7"" - Archive 01",496
"7"" - Archive 02",486
"7"" - Archive 03",477
"7"" - Archive 04",466
"7"" - Archive 05",479
"7"" - Archive 06",475
"7"" - Archive 07",210
"7"" - Holiday",75
"7"" - Novelty",138
"7"" - Playlist - 01",349
"7"" - Playlist - 02",353
"7"" - Playlist - 03",349
"7"" - Playlist - 04",354
"7"" - Playlist - 05",354
"7"" - Playlist - 06",348
"7"" - Playlist - 07",316
"7"" - Playlist - Film & TV",19
"7"" - Retro - 01",375
"7"" - Retro - 02",399
"7"" - Retro - 03",215
Duplicates,26
"LPs A-Z",618
"LPs Helens Case",33
"Misc. Ikea Case",26
Uncategorized,5
