Artist_Group,Artist,Title,QR_Code,Released,Record_Case
10cc,10CC,"Art For Arts Sake",https://www.discogs.com/release/801537,1975,"7"" - Retro - 01"
10cc,10cc,Donna,https://www.discogs.com/release/10651640,1972,"7"" - Retro - 01"
10cc,10cc,"Dreadlock Holiday",https://www.discogs.com/release/1804141,1978,"7"" - Playlist - 01"
10cc,10cc,"Good Morning Judge",https://www.discogs.com/release/799173,1977,"7"" - Retro - 01"
10cc,10cc,"I'm Mandy Fly Me",https://www.discogs.com/release/744098,1976,"7"" - Retro - 01"
10cc,10cc,"I'm Not In Love",https://www.discogs.com/release/2643733,1975,"7"" - Retro - 01"
10cc,10cc,"Life Is A Minestrone",https://www.discogs.com/release/1847060,1975,"7"" - Retro - 01"
10cc,10CC,"People In Love",https://www.discogs.com/release/13515275,1977,"7"" - Archive 01"
10cc,10cc,"Reds In My Bed",https://www.discogs.com/release/4429951,1978,"7"" - Archive 01"
10cc,10cc,"Rubber Bullets",https://www.discogs.com/release/612001,1973,"7"" - Retro - 01"
10cc,10cc,"Silly Love",https://www.discogs.com/release/2619461,1974,"7"" - Retro - 01"
10cc,10cc,"The Dean And I",https://www.discogs.com/release/1684230,1973,"7"" - Archive 01"
10cc,10cc,"The Things We Do For Love",https://www.discogs.com/release/479561,1976,"7"" - Retro - 01"
10cc,10cc,"The Wall Street Shuffle",https://www.discogs.com/release/5414582,1974,"7"" - Retro - 01"
"10cc / The Stylistics / Mike Berry / Peter Skellern","10cc / The Stylistics / Mike Berry / Peter Skellern","Classic Love Songs",https://www.discogs.com/release/1904385,1982,"7"" - Archive 01"
"1910 Fruitgum Company","1910 Fruitgum Company","Simon Says",https://www.discogs.com/release/763604,1967,"7"" - Novelty"
"2 Bad 2 Mention","2 Bad 2 Mention","Do It",https://www.discogs.com/release/14612214,1987,"7"" - Archive 01"
"2 In A Room","2 In A Room","Wiggle It",https://www.discogs.com/release/222965,1991,"7"" - Playlist - 01"
"2 Unlimited","2 Unlimited",Faces,https://www.discogs.com/release/492587,1993,"7"" - Playlist - 01"
"2 Unlimited","2 Unlimited","Let The Beat Control Your Body",https://www.discogs.com/release/189624,1994,"7"" - Playlist - 01"
"2 Unlimited","2 Unlimited","No Limit",https://www.discogs.com/release/310442,1993,"7"" - Playlist - 01"
"2 Unlimited","2 Unlimited","Tribal Dance",https://www.discogs.com/release/189634,1993,"7"" - Playlist - 01"
