artist                      title                                           play_count
--------------------------  ----------------------------------------------  ----------
Journey                     Don't Stop Believin'                            81        
Talk Talk                   It's My Life                                    78        
Tom Petty                   Free Falling                                    75        
Fleetwood Mac               Everywhere                                      70        
Bob Marley and The Wailers  Could You Be Loved                              67        
Proclaimers                 I'm Gonna Be                                    65        
Clash                       Should I Stay Or Should I Go                    55        
Bon Jovi                    You Give Love A Bad Name                        52        
Crowded House               Don't Dream It's Over                           50        
Daryl Hall and John Oates   You Make My Dreams                              49        
Hall and Oates              Out Of Touch                                    45        
Bon Jovi                    Bad Medicine                                    40        
Depeche Mode                Personal Jesus                                  40        
Lightning Seeds             Pure                                            40        
Style Council               You're The Best Thing                           40        
Luther Vandross             Never Too Much                                  36        
Smiths                      This Charming Man                               35        
Cure                        Just Like Heaven                                34        
Smiths                      How Soon Is Now?                                34        
Queen                       Hammer To Fall                                  32        
Smiths                      Ask                                             32        
Bob Marley and The Wailers  Three Little Birds                              31        
Grandmaster Flash           The Message                                     31        
Pat Benatar                 Hit Me With Your Best Shot                      31        
R.E.M                       Stand.                                          31        
Smiths                      Heaven Knows I'm Miserable Now                  29        
Bruce Springsteen           Hungry Heart                                    28        
Cure                        In Between Days                                 27        
Tracy Chapman               Baby Can I Hold You                             18        
Tracy Chapman               Talkin' 'bout A Revolution                      14        
A Flock Of Seagulls         I Ran                                           8         
Bad Manners                 Lip Up Fatty                                    8         
New Order                   Bizarre Love Triangle                           7         
Rick James                  Superfreak                                      7         
Christopher Cross           Ride Like The Wind                              6         
Cure                        Why Can't I Be You                              6         
Depeche Mode                Shake The Disease                               6         
Inxs and Jimmy Barnes       Good Times                                      6         
Janet Jackson               Rhythm Nation                                   6         
Stevie Nicks                Edge Of Seventeen                               6         
Talking Heads               Burning Down The House                          6         
Cure                        Lullaby                                         5         
Ramones                     Baby I Love You                                 5         
Smiths                      The Boy With A Thorn In His Side                5         
Billy Idol                  Eyes Without A Face                             4         
Clash                       I Fought The Law                                4         
Def Leppard                 Love Bites                                      4         
Paul Simon                  Diamonds On The Soles Of Her Shoes              4         
Bob Marley and The Wailers  Buffalo Soldier                                 3         
Bodysnatchers               Let's Do Rock Steady                            3         
De La Soul                  Me Myself & I                                   3         
Inxs                        Never Tear Us Apart                             3         
Prince                      I Would Die 4 U                                 3         
Smiths                      William, It Was Really Nothing                  3         
Stranglers                  Always The Sun                                  3         
Abba                        Lay All Your Love On Me                         2         
Billy Joel                  The Longest Time                                2         
Creatures                   Miss The Girl                                   2         
Fleetwood Mac               Gypsy                                           2         
Freddie Mercury and Queen   I Was Born To Love You                          2         
Queen                       Who Wants To Live Forever                       2         
S.O.S. Band                 Just Be Good To Me                              2         
Smiths                      Please, Please, Please, Let Me Get What I Want  2         
Smiths                      Stop Me If You've Heard This One Before         2         
Smiths                      There Is A Light That Never Goes Out            2         
Throwing Muses              Dizzy                                           2         
Yello                       Oh Yeah                                         2         
Bad Manners                 Ne-ne Na-na Na-na Nu-nu                         1         
Beloved                     The Sun Rising                                  1         
Bruce Springsteen           Born In The USA                                 1         
Bryan Adams                 Heat Of The Night                               1         
David Bowie                 Magic Dance                                     1         
Dire Straits                Your Latest Trick                               1         
Elvis Costello              Everyday I Write The Book                       1         
Georgia Satellites          Battleship Chains                               1         
Huey Lewis and The News     Back In Time                                    1         
Jocelyn Brown               Somebody Else's Guy                             1         
Kate Bush                   This Woman's Work                               1         
Kim Wilde                   View From A Bridge                              1         
Meat Loaf                   Midnight At The Lost And Found                  1         
Men At Work                 Overkill                                        1         
New Order                   Thieves Like Us                                 1         
Omd                         If You Leave                                    1         
Paul McCartney              Take It Away                                    1         
Paul Simon                  Graceland                                       1         
Poison                      Your Mama Don't Dance                           1         
Prefab Sprout               Nightingales                                    1         
Prince                      Controversy                                     1         
Prince                      Nothing Compares 2 U                            1         
Rick Springfield            Jessie's Girl                                   1         
Roxy Music                  Avalon                                          1         
Rush                        Tom Sawyer                                      1         
Sade                        The Sweetest Taboo                              1         
Shannon                     Give Me Tonight                                 1         
Simple Minds                Sweat In Bullet                                 1         
Smiths                      That Joke Isn't Funny Anymore                   1         
Stone Roses                 What The World Is Waiting For                   1         
Style Council               Long Hot Summer                                 1         
Tears For Fears             Woman In Chains                                 1         
Tone Loc                    Wild Thing                                      1         
U2                          Gloria                                          1         
